Ano,Links (ESQUIZOFRENIA),Ano,Links (ESQUIZOFRÊNICO),Ano,Links (ESQUIZOFRÊNICA),Ano,Links (ESQUIZOFRÊNICOS),Ano,Links (ESQUIZOFRÊNICAS),,LINKS METAFÓRICOS,LINKS NÃO METAFÓRICOS
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u2418.shtml,2001,http://www1.folha.uol.com.br/fsp/opiniao/fz0110200110.htm,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq1210200106.htm,2001,http://www1.folha.uol.com.br/fsp/folhatee/fm0107200208.htm,2005,http://www1.folha.uol.com.br/folha/bbc/ult272u48631.shtml,,"https://cultura.estadao.com.br/noticias/geral,antunes-filho-em-forma-de-texto,70003149664","https://cultura.estadao.com.br/noticias/artes,livro-mostra-como-a-formacao-religiosa-de-van-gogh-interferiu-em-sua-experiencia-artistica,70003617337"
2001,http://www1.folha.uol.com.br/fsp/equilibrio/eq0802200113.htm,2001,http://www1.folha.uol.com.br/fsp/folhatee/fm1009200114.htm,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq1010200113.htm,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq1806200210.htm,2005,http://www1.folha.uol.com.br/folha/bbc/ult272u48624.shtml,,https://cultura.estadao.com.br/blogs/sem-intervalo/a-chinesa-classico-politico-do-revolucionario-godard-esta-na-tv/,"https://saude.estadao.com.br/noticias/geral,combinacao-de-tecnicas-de-baixo-custo-se-mostra-eficaz-no-diagnostico-de-alzheimer,70003604697"
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u2546.shtml,2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u17338.shtml,2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u17627.shtml,2001,http://www1.folha.uol.com.br/folha/reuters/ult112u16934.shtml,2005,http://www1.folha.uol.com.br/fsp/ilustrad/fq2010200506.htm,,"https://cultura.estadao.com.br/noticias/teatro-e-danca,peca-simples-assim-mostra-como-rir-da-falta-de-afeto,70002998872",https://brasil.estadao.com.br/blogs/inconsciente-coletivo/christian-dunker-milicias-da-alma-e-hipermedicalizacao-a-espreita/
2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq1702200121.htm,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq0709200106.htm,2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u17406.shtml,2001,http://www1.folha.uol.com.br/fsp/esporte/fk0606200236.htm,2005,http://www1.folha.uol.com.br/fsp/acontece/ac3108200502.htm,,https://cultura.estadao.com.br/blogs/estado-da-arte/a-baixeza-de-bacurau/,"https://cultura.estadao.com.br/noticias/literatura,documentario-flagra-o-desalento-do-escritor-antonio-callado-com-o-brasil,70003588131"
2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u10685.shtml,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq0509200103.htm,2001,http://www1.folha.uol.com.br/fsp/acontece/ac0909200103.htm,2001,http://www1.folha.uol.com.br/fsp/acontece/ac1105200202.htm,2005,http://www1.folha.uol.com.br/folha/bbc/ult272u44496.shtml,,https://cultura.estadao.com.br/blogs/direto-da-fonte/secretaria-de-educacao-paulistana-estuda-bonus-para-professores-e-servidores/,"https://saude.estadao.com.br/noticias/geral,pesquisas-tem-associado-idade-do-homem-a-problemas-na-gestacao-e-no-bebe,70002912610"
2001,http://www1.folha.uol.com.br/fsp/folhatee/fm1902200117.htm,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq2508200115.htm,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u300.shtml,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u981.shtml,2006,http://www1.folha.uol.com.br/folha/pensata/ult2655u74.shtml,,"https://cultura.estadao.com.br/noticias/televisao,o-brasil-nao-se-considera-um-pais-latino-americano-diz-caco-ciocler,70002729805","https://saude.estadao.com.br/noticias/geral,com-varios-vetos-bolsonaro-sanciona-lei-antidrogas,70002858546"
2001,http://www1.folha.uol.com.br/fsp/folhatee/fm1902200116.htm,2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u16944.shtml,2001,http://www1.folha.uol.com.br/fsp/cotidian/ff1208200126.htm,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u980.shtml,2006,http://www1.folha.uol.com.br/folha/mundo/ult94u95585.shtml,,"https://cultura.estadao.com.br/noticias/literatura,cenario-amos-oz-um-lutador-incansavel-contra-o-fanatismo,70002660660","https://saude.estadao.com.br/noticias/geral,inteligencia-do-psicopata-e-criacao-mistica-e-mentirosa-diz-especialista,70002804864"
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u2709.shtml,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq2408200112.htm,2001,http://www1.folha.uol.com.br/folha/reuters/ult112u4288.shtml,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u979.shtml,2006,http://www1.folha.uol.com.br/folha/mundo/ult94u95237.shtml,,"https://cultura.estadao.com.br/noticias/televisao,debate-house-of-cards-sobreviveu-sem-kevin-spacey,70002620384","https://ciencia.estadao.com.br/noticias/geral,circuitos-cerebrais-das-emocoes-surgem-antes-de-o-bebe-completar-um-ano,70002542719"
2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq0203200103.htm,2001,http://www1.folha.uol.com.br/fsp/opiniao/fz0708200109.htm,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq2007200113.htm,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u978.shtml,2007,Não há ocorrência,,https://einvestidor.estadao.com.br/colunas/farialima-elevator/novas-possibilidades/,"https://saude.estadao.com.br/noticias/geral,a-cada-45-minutos-uma-pessoa-comete-suicidio-no-brasil,70002496904"
2001,http://www1.folha.uol.com.br/fsp/ciencia/fe1403200101.htm,2001,http://www1.folha.uol.com.br/fsp/mundo/ft0308200106.htm,2001,http://www1.folha.uol.com.br/folha/brasil/ult96u21532.shtml,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u977.shtml,2008,http://www1.folha.uol.com.br/fsp/ilustrad/fq0106200809.htm,,"https://eldorado.estadao.com.br/audios/programas/jornal-eldorado/e-uma-coalizao-esquizofrenica-diz-especialista-sobre-novo-governo-de-israel,1176353","https://ciencia.estadao.com.br/noticias/geral,estados-unidos-aprovam-primeira-pilula-digital-rastreavel,70002084499"
