Ano,Links (ESQUIZOFRENIA),Ano,Links (ESQUIZOFRÊNICO),Ano,Links (ESQUIZOFRÊNICA),Ano,Links (ESQUIZOFRÊNICOS),Ano,Links (ESQUIZOFRÊNICAS),, 
2010,https://www.correiodopovo.com.br/not%C3%ADcias/geral/vigilante-que-manteve-mulher-em-c%C3%A1rcere-privado-volta-ao-pres%C3%ADdio-central-1.18305,2014,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/amiga-de-edelv%C3%A2nia-reafirma-que-n%C3%A3o-sabia-dos-planos-do-crime-1.153125,2020,https://www.correiodopovo.com.br/arteagenda/cinepsiquiatria-realiza-sess%C3%A3o-comentada-de-parasita-no-shopping-praia-de-belas-em-porto-alegre-1.405395, ,,,,,
2011,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/man%C3%ADaco-noruegu%C3%AAs-pode-escapar-da-pris%C3%A3o-por-problemas-mentais-1.78882,2014,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/justi%C3%A7a-decreta-interna%C3%A7%C3%A3o-compuls%C3%B3ria-de-homem-que-fotografava-estudantes-1.154990,2020,https://www.correiodopovo.com.br/blogs/hiltormombach/eles-vivem-em-outro-planeta-1.409755, ,,,,,
2011,https://www.correiodopovo.com.br/not%C3%ADcias/geral/cientistas-identificam-genes-da-magreza-1.71285,2015,https://www.correiodopovo.com.br/arteagenda/dicaprio-vai-viver-esquizofr%C3%AAnico-com-24-personalidades-1.166939,2020,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/brasil-completa-50-dias-sem-ministro-titular-na-sa%C3%BAde-1.445720, ,,,,,
2011,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/assassino-confesso-do-cartunista-glauco-n%C3%A3o-ir%C3%A1-a-tribunal-1.63518,2015,https://www.correiodopovo.com.br/not%C3%ADcias/geral/paranaense-executado-na-indon%C3%A9sia-%C3%A9-enterrado-em-curitiba-1.171867, ,, ,,,,,
2011,https://www.correiodopovo.com.br/blogs/juremirmachado/mem%C3%B3rias-de-um-fot%C3%B3grafo-na-linha-de-frente-da-legalidade-2-1.297476,2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/pol%C3%ADcia-dos-eua-mata-mais-de-duas-pessoas-por-dia-1.174100, ,, ,,,,,
2011,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/m%C3%A3e-de-atirador-era-esquizofr%C3%AAnica-diz-secret%C3%A1rio-de-assist%C3%AAncia-social-1.59054,2015,https://www.correiodopovo.com.br/arteagenda/marvel-ter%C3%A1-mais-duas-s%C3%A9ries-inspiradas-no-universo-de-x-men-1.185227, ,, ,,,,,
2011,https://www.correiodopovo.com.br/not%C3%ADcias/geral/anvisa-aprova-gen%C3%A9ricos-para-esquizofrenia-e-colesterol-1.54715,2016,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/protesto-contra-temer-re%C3%BAne-milhares-em-belo-horizonte-1.211742, ,, ,,,,,
2011,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/pai-das-g%C3%AAmeas-su%C3%AD%C3%A7as-desaparecidas-diz-em-carta-que-matou-as-filhas-1.54381,2017,https://www.correiodopovo.com.br/arteagenda/paulo-betti-relembra-hist%C3%B3rias-de-inf%C3%A2ncia-e-juventude-em-sua-autobiografia-1.234918, ,, ,,,,,
2012,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/atirador-de-s%C3%A3o-paulo-tem-noite-tranquila-na-cadeia-1.103424,2017,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/diretor-de-comunica%C3%A7%C3%B5es-da-casa-branca-anthony-scaramucci-deixa-o-cargo-1.237307, ,, ,,,,,
2012,https://www.correiodopovo.com.br/blogs/juremirmachado/lula-e-dilma-por-um-advogado-e-um-m%C3%A9dico-1.297731,2017,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/caos-do-governo-trump-tem-demiss%C3%A3o-de-diretor-de-comunica%C3%A7%C3%B5es-11-dias-ap%C3%B3s-posse-1.237319, ,, ,,,,,
